cluster_ID,genes
1,Plasma cells;DUSP5
2,TIMP1;HLA-C;CDKN1A;ISG20;CD38;COMMD3;MT1F
3,CD9;GLRX;PDK1;FNDC3B;DDIT4;TAGAP;GALNT2;ODC1
4,MT1X;MT1G;Macrophages Metallothionein;LGALS3;IFI27
5,VMP1;CCL2;MAFF;ALDH1A1;Macrophages LYVE1+;IL6ST;CCL8;IFI44L;BCL3;SPTLC2;FAM46A;VAMP5;ACSL1;CLEC4E;CXCL10;THBD;NFIL3;MSR1;SCARB2;SERPING1;CSRNP1;CCR1;ADM;LMO2;FCGR1A;TFEC;NCF1;LIPA;BST2
6,IFI6;LY6E;ISG15;Tregs;IL1R1;RBM25;Immune Cycling cells;PSMB8;PHF11;SUN2;ARNTL;OPTN;IRF9;TRIM14;IFI44;ANXA2R;GBP5;T cells CD4+ IL17A+;CRY1;SP110;CCND3;B2M;CCDC109B;ARHGEF3;SLFN5;SOCS1;T cells Naive CD4+;DCP1A;PPM1K;GCH1;C4orf32
7,CHMP5;TNFSF10;SOCS2;MAP3K5;HEG1;STAP1;MT1M;MT1H;B cells;NCOA3;C10orf10;ZBP1;MAX;GEM;FAM134B;TLK2;IFI35;IFIT5;MASTL;MVB12B;SLC25A30;C4orf33;APOL1;PML;HELZ2;XAF1;UNC93B1;MX1;RNF114;SECTM1;TMEM51;TCF7L2;TRIM38;BAG1;MYD88;NMI;MYOF;IL1RN;Neutrophils S100A8+ S100A9+;S100A8;IRF2;WHAMM;JAK2;PARP12;ALYREF;RBCK1;STARD5;BTN3A3;PI4K2B;OASL;TREX1;NK cells KLRF1+ CD3G-;GAK;NAPA;C9orf91;CASP7;PARP9;DDX58;DTX3L;C1S;GBP3;MB21D1;OAS3;GPX2;IMPA2;GBA;IFIT3;Macrophages PLA2G2D+;OGFR;ERLIN1;SLC25A28;EHD4;OAS2;ANKFY1;IRF7;ATP10D;CDK17;SMAD3;DDX60;AKT3;HSH2D;SLC16A1;ARG2;APOL2;KIAA0040;TMEM140;PRKD2;PMM2;HERC6;TRIM25;IGFBP2;MICB;B cells AICDA+ LRMP+;TRIM5;ZNF385B;VEGFC;USP18;UPP2;ULK4;TRIM34;TRIM21;TRAFD1;TNFRSF10A;TNFAIP6;TMEM255A;TLR3;TDRD7;TBX3;TAP2;STEAP4;ST3GAL4;SPSB1;SLC1A1;SERPINE1;SAMD4A;SAA1;RTP4;RNASE4;PUS1;PNPT1;PHF15;PDGFRL;PADI2;P2RY6;NT5C3;NRN1;NPAS2;NOD2;NEURL3;NDC80;MKX;MCOLN2;MAP3K14;MAB21L2;LRG1;LEPR;IL17RB;IL15RA;IFNLR1;IFIT2;IFIT1;HLA-G;HESX1;GJA4;G6PC;FZD5;FUT4;FTSJD2;FNDC4;FFAR2;EXT1;ETV7;ENPP1;CYP1B1;CXCL11;CX3CL1;CTCFL;CRP;CREB3L3;CMAHP;CLEC4D;CFB;CES1;CCNA1;C5orf27;C22orf28;BUB1;BCL2L14;BATF2;AQP9;APOBEC3A;ANKRD22;ANGPTL1;AMPH;AHNAK2;ABTB2;Monocytes CHI3L1+ CYP27A1+;ABLIM3;MTHFD2L;PXK;AIM2;CPT1A;CCDC92;Mast cells
8,PIM3;CYTH1;BLVRA;RASSF4;EPSTI1;CXCL9;SLC15A3;CD80;ADAMDEC1;GBP4;UBE2L6;GK;TAP1;GCA;RNF19B;Macrophages CXCL9+ CXCL10+;SIRPA;LPCAT1;SNN;ILCs;SCO2;Monocytes S100A8+ S100A9+;DC1;WARS;ETV6;CD274;IL15;IDO1;Mature DCs;LAMP3;CCL19
9,PMAIP1;PSMB9;RNF213;T cells OGT+;GBP2;ADAR;B4GALT5;HLA-F;IELs ID3+ ENTPD1+ (NK-like cells ID3+ ENTPD1+);T cells CD8+;T cells CD8+ KLRG1+;GZMB
10,STAT1;TNFSF13B;IFNGR1;EIF3L;TYMP;IFI30;C15orf48;GBP1;LAP3;PLSCR1;SERPINB9;SPATS2L;SAMHD1;HES4;DC2 CD1D-;DC2 CD1D+
11,CD74;MARCKS;IFITM3;CEBPD;NAMPT;CCL4;HLA-E;PFKFB3;PLIN2;Macrophages;MAFB;CD163;Macrophages CCL3+ CCL4+;LGMN
12,RGS1;MCL1;JUNB;ATF3
13,TNFAIP3;PTMA;HLA-A;HLA-B;PNRC1;FKBP5;TXNIP;ELF1;CD69;RPL22;IFITM2;CCL5;T cells CD4+ FOSB+;IFI16;RARRES3;CLEC2B;DDX3X
